,Name,Price,Stores,Rating,Votes,Type,Connection,Colors,Switches
120,Riitek Rii K12+,34.00 ,0,5.0,1,Keyboard with Touchpad,USB,0,
121,Logitech K360 Black,35.00 ,3,4.5,55,Keyboard Only,USB,0,
122,HP Slim Wireless Keyboard and Mouse,39.51 ,4,5.0,1,Keyboard and Mouse Set,USB,0,
123,Logitech Wireless Illuminated Keyboard K800,99.99 ,16,4.3,22,Keyboard Only,USB,0,
124,Conceptum CB401,6.20 ,13,0.0,0,Keyboard and Mouse Set,USB,0,
125,Rebeltec Inspire,7.38 ,4,5.0,1,Keyboard Only,USB,0,
126,Microsoft Designer Bluetooth Desktop,83.75 ,14,4.0,4,Keyboard and Mouse Set,Bluetooth,0,
127,Marvo DCM001,15.70 ,11,3.0,1,Keyboard and Mouse Set,USB,0,
128,Lenovo Wireless Keyboard and Mouse Combo,47.50 ,3,4.3,4,Keyboard and Mouse Set,USB,0,
129,Keywin RL-GK03 Black,10.78 ,247,3.3,3,Keyboard and Mouse Set,Bluetooth,0,
130,Logitech Wireless Desktop MK710,90.90 ,28,3.9,15,Keyboard and Mouse Set,USB,0,
131,Rebeltec Whiterun Set,17.50 ,9,0.0,0,Keyboard and Mouse Set,Bluetooth / USB,0,
132,Natec NZB-1440,13.76 ,9,0.0,0,Keyboard and Mouse Set,USB,0,
133,Lenovo Preferred Pro II,30.79 ,11,4.0,1,Keyboard Only,USB,0,
134,Lenovo Professional Wireless Keyboard,35.10 ,12,0.0,0,Keyboard Only,USB,0,
135,Marvo DKB001,4.40 ,8,0.0,0,Keyboard Only,USB,0,
136,Weibo WB-8012,13.79 ,7,0.0,0,Keyboard and Mouse Set,USB,0,
137,Microsoft Wired Keyboard 600 Black,13.50 ,30,3.9,37,Keyboard Only,USB,2,
138,Xiaomi MIIIW MWBK01 White,57.90 ,2,5.0,1,Keyboard Only,Bluetooth,2,
139,Mobilis RK908 Silver,25.50 ,12,4.5,2,Keyboard Only,Bluetooth,3,
140,HP Pavilion 600 White,32.59 ,12,4.0,15,Keyboard Only,USB,2,
141,Xiaomi MIIIW Black,31.55 ,4,4.0,4,Keyboard and Mouse Set,USB,2,
142,Microsoft Surface Pro Signature Type Cover Alcantara Burgundy,174.51 ,7,0.0,0,Keyboard with Touchpad,Dock,6,
143,Logitech K480 White,48.00 ,7,4.8,18,Keyboard Only,Bluetooth,2,
144,Microsoft Surface Pro X,120.00 ,6,0.0,0,Keyboard with Touchpad,Dock,0,
145,Rebeltec Primero,5.30 ,8,0.0,0,Keyboard Only,USB,0,
