,Name,Price,Stores,Rating,Votes,Type,Connection,Colors
480,Visiontek CandyBoard Wireless,59.00 ,0,0.0,0,Keyboard with Touchpad,USB,0
481,Approx KBWSAKIT,27.90 ,0,3.0,1,Keyboard and Mouse Set,USB,0
482,Rebeltec Elegance,16.98 ,3,3.0,1,Keyboard Only,USB,0
483,HP Classic Wired Keyboard,10.90 ,4,4.3,3,Keyboard Only,USB,0
484,Measy GP800,19.00 ,0,3.0,1,Keyboard with Touchpad,USB,0
485,Rebeltec Espiro,6.00 ,4,0.0,0,Keyboard Only,USB,0
486,Sandberg Nor,22.30 ,247,0.0,0,Keyboard and Mouse Set,USB,0
487,Sandberg Wireless Office DesktopSet UK,42.15 ,24,0.0,0,Keyboard and Mouse Set,USB,0
488,Sandberg Nord,13.60 ,247,0.0,0,Keyboard Only,USB,0
489,FanTech FTK-801,5.80 ,5,0.0,0,Keyboard Only,USB,0
490,FanTech WK-890,19.00 ,0,0.0,0,Keyboard and Mouse Set,USB,0
491,Riitek Rii mini i12,39.32 ,2,4.0,1,Keyboard with Touchpad,USB,0
492,Lenovo Ultrabook Keyboard,39.90 ,0,4.0,1,Keyboard with Touchpad,Bluetooth,0
493,KeySonic KSK-8030IN,65.80 ,2,0.0,0,Keyboard Only,USB,0
494,Kit KBXLBKKT,29.90 ,0,0.0,0,Keyboard Only,Bluetooth,0
495,Belkin YourType Bluetooth Wireless Keypad,53.99 ,6,2.5,2,Keyboard Only,Bluetooth,0
496,KeySonic ACK-118BK,6.02 ,6,3.0,1,Keyboard Only,USB,0
497,Media-Tech MT1421,17.90 ,6,1.0,1,Keyboard with Touchpad,USB,0
498,Weibo WB-8033,13.10 ,2,0.0,0,Keyboard and Mouse Set,USB,0
499,Lenovo ThinkPad Tablet 2 Bluetooth Keyboard with Stand,69.90 ,8,0.0,0,Keyboard Only,Bluetooth,0
500,Havit Mini K-1000,12.90 ,0,3.0,1,Keyboard Only,USB,0
501,Lenovo Multi-OS Keyboard W500,84.90 ,0,0.0,0,Keyboard Only,Bluetooth,0
502,Rebeltec Pure,17.90 ,0,3.0,2,Keyboard and Mouse Set,USB,0
503,Logickeyboard Avid Media Composer Advance,142.00 ,0,0.0,0,Keyboard Only,USB,0
504,Logickeyboard Avid Media Composer Slim,142.00 ,0,0.0,0,Keyboard Only,USB,0
505,Logickeyboard Avid Media Composer PC Backlit Astra Keyboard,142.00 ,0,0.0,0,Keyboard Only,USB,0
506,Esperanza Titanum TK106,4.18 ,3,0.0,0,Keyboard and Mouse Set,USB,0
507,Logitech Keys-To-Go Black,89.00 ,0,4.0,1,Keyboard Only,Bluetooth,0
508,Omega OKM025 Set,12.00 ,0,0.0,0,Keyboard and Mouse Set,USB,0
509,Rebeltec Portal,14.50 ,0,0.0,0,Keyboard Only,USB,0
510,Element KB-700W,31.50 ,3,3.7,3,Keyboard with Touchpad,USB,0
511,Kanex Multi-Sync Bluetooth Keyboard for PC/Android,39.99 ,0,0.0,0,Keyboard Only,Bluetooth,0
512,LogiLink Wireless Numeric Keypad with 18 Keys,12.03 ,4,0.0,0,Keyboard Only,USB,0
513,Element KB-260WMS,19.50 ,3,0.0,0,Keyboard and Mouse Set,USB,0
514,Esperanza Standard TK103,4.90 ,2,3.0,1,Keyboard Only,USB,0
515,Tracer Eureka TRK-325,24.90 ,0,0.0,0,Keyboard Only,Bluetooth,0
