,Name,Price,Stores,Rating,Votes,Switches,Colors
476,Blow V3,24.90 ,2,0.0,0,Membrane,0
477,Razer Huntsman Mercury,219.99 ,0,4.5,27,Razer Clicky,3
478,Sbox K-15 Blue,8.49 ,3,0.0,0,Membrane,2
479,Motospeed K96 White (Outemu Red),50.83 ,0,4.4,24,Outemu Red,2
480,Omega VARR Neon,64.90 ,2,0.0,0,Jixian Blue,0
481,Geeklin Mechanical Gaming Keyboard,78.86 ,2,0.0,0,Custom Mechanical,0
482,Logitech G512 (GX Brown),119.90 ,0,0.0,0,GX Brown,0
483,Xtrike Me CM-400,32.00 ,4,0.0,0,Membrane,0
484,HyperX Alloy Elite RGB (Cherry MX Blue),124.84 ,2,5.0,4,Cherry MX Blue,0
485,Yenkee Ambush Gaming Set,54.50 ,3,0.0,0,Membrane,0
486,Corsair K95 RGB Platinum XT,272.00 ,0,3.0,2,Cherry MX Speed,0
487,Sandberg RageStorm Mech,44.60 ,247,0.0,0,Outemu Blue,0
488,Riotoro Ghostwriter Elite (Cherry MX Brown),150.00 ,0,0.0,0,Cherry MX Brown,0
489,Logitech G512 (GX Red),119.90 ,2,0.0,0,GX Red,0
490,Das KeyBoard Wired Prime 13,142.85 ,2,0.0,0,Cherry MX Brown,0
491,CoolerMaster SK630,124.91 ,4,0.0,0,Cherry MX Red Low Profile,0
492,Gembird KBS-WMG-01,20.60 ,4,4.0,3,Membrane,0
493,Modecom Volcano Hammer RGB (Outemu Red),23.00 ,4,0.0,0,Outemu Red,0
494,Tracer Gamezone Lightray,10.52 ,4,0.0,0,Membrane,0
495,Remax XII-J566,47.40 ,9,0.0,0,Custom Mechanical,0
496,Genius Scorpion K220,20.00 ,0,0.0,0,Membrane,0
497,Motospeed K96 Black (MS Brown Switches),49.85 ,0,4.4,24,Key Lights,0
498,Gamdias Ares P1,28.99 ,4,0.0,0,Membrane,0
499,Tronsmart TK09R RGB,69.01 ,0,4.0,1,Outemu Blue,0
500,Natec Cobalt 300,55.00 ,0,0.0,0,Key Lights,0
501,Redragon S108,55.00 ,0,0.0,0,Key Lights,0
502,White Shark Gladiator,17.60 ,11,0.0,0,Membrane,0
503,Motospeed CK88 (Outemu Blue),58.70 ,5,4.0,1,Outemu Blue,0
504,Marvo K636,14.88 ,7,3.5,2,Membrane,0
505,SteelSeries Apex 7 TKL (Steelseries Blue),189.00 ,0,4.0,1,SteelSeries Blue,0
506,Gembird KBS-UMG-01,15.70 ,13,3.0,1,Membrane,0
507,CoolerMaster CK350 (Outemu Blue),64.44 ,0,5.0,5,Outemu Blue,0
508,Adata XPG Summoner (Cherry MX Red),92.06 ,0,5.0,1,Cherry MX Red,0
509,MSI Vigor GK30 Combo,67.89 ,0,0.0,0,Key Lights,0
510,Dell Alienware Advanced Gaming Keyboard AW568,65.00 ,2,4.0,2,Custom Brown,0
511,ADX ADXCOM19,39.99 ,0,0.0,0,Membrane,0
512,Logitech G513 (GX Brown),181.00 ,0,0.0,0,GX Brown,0
513,Adata XPG Summoner (Cherry MX Blue),93.69 ,0,5.0,1,Cherry MX Blue,0
514,Weibo Dark Hero WB-100,13.99 ,2,3.5,2,Membrane,0
515,Gamdias Poseidon E1,27.90 ,4,0.0,0,Membrane,0
516,Esperanza Tirions Red,5.95 ,3,3.0,1,Key Lights,0
517,Thermaltake Level 20 RGB (Cherry MX Blue),124.25 ,1,0.0,0,Cherry MX Blue,0
518,Armaggeddon MKA-9C Psychraptor (Kailh Brown),82.00 ,0,0.0,0,Kailh Brown,0
519,FanTech K10,10.70 ,3,3.8,8,Membrane,0
520,Gigabyte Force K81,49.90 ,0,0.0,0,Kailh Red,0
521,Redragon K565R Rudra,43.00 ,0,0.0,0,Outemu Blue,0
522,Motospeed CK94,59.26 ,9,3.0,1,Kailh Short,0
523,A4Tech B760,47.50 ,3,0.0,0,LK Libra Orange,0
524,Corsair K95 RGB Platinum Gunmetal (Cherry MX Brown),269.00 ,0,4.6,18,Cherry MX Speed,2
525,Motospeed K96 White (Outemu Blue),39.90 ,0,4.4,24,Outemu Blue,2
526,Motospeed CK89 Pink (Kaili Box White),70.24 ,2,5.0,2,Kailh Box White,2
527,Xtrike Me KB-705 White,17.90 ,0,0.0,0,Membrane,2
528,Das KeyBoard 4 Ultimate,153.39 ,3,0.0,0,Cherry MX Brown,0
529,Esperanza Seaker Black/Green,7.50 ,2,4.0,1,Membrane,0
530,Rebeltec BigFONT,18.99 ,0,0.0,0,Membrane,0
531,Dragon War Desert Eagle,19.90 ,0,0.0,0,Membrane,0
532,Omega Varr Fighter 2,44.75 ,0,0.0,0,Xinda Blue,0
533,Xtrike Me KB-302,9.99 ,2,0.0,0,Membrane,0
534,Mobilis Keywin Ak47,26.90 ,2,0.0,0,Custom Mechanical,0
535,Wesdar MK4,13.90 ,2,0.0,0,Membrane,0
536,Redragon Rahu,69.00 ,0,0.0,0,Outemu Blue,0
537,Sades BNDL-0004,183.47 ,3,0.0,0,Custom Blue,0
538,Sandberg FireStorm Mech,70.70 ,2,0.0,0,Outemu Blue,0
539,Dragon War GKM-001,52.09 ,8,0.0,0,Membrane,0
540,Thermaltake Level 20 RGB (Cherry MX Speed),126.79 ,2,0.0,0,Cherry MX Speed,0
541,Genius K20,31.10 ,10,0.0,0,Membrane,0
542,FanTech MVP-861 Commander,68.20 ,0,0.0,0,Outemu Blue,0
543,Sandberg Gaming Starter Kit Nordic,49.90 ,24,0.0,0,Membrane,0
544,Sandberg IronStorm 640-15,36.00 ,2,0.0,0,Membrane,0
545,Logitech G915 Lightspeed (GL Tactile),241.28 ,2,5.0,5,GL Tactile,0
546,Asus TUF Gaming K7,129.00 ,0,0.0,0,TUF Linear,0
547,AS-808 E-SPORTS,50.00 ,2,0.0,0,Outemu Red,0
548,A4Tech B180 RGB,31.50 ,2,0.0,0,Membrane,0
549,Aerocool TK15,12.34 ,2,0.0,0,Membrane,0
550,Thermaltake Meka Pro Lite,85.90 ,1,0.0,0,Cherry MX Blue,0
551,Tracer Gamezone Hellway X,23.50 ,2,0.0,0,Membrane,0
552,Thermaltake Neptune PRO,70.92 ,2,0.0,0,TTC Brown,0
553,Genesis Thor 300 (Outemu Red),31.89 ,2,3.3,22,Outemu Red,0
